building_id,source_component_id,original_centroid_x_m,original_centroid_y_m,transformed_centroid_x_m,transformed_centroid_y_m,centroid_spacing_scale,footprint_scale_xy,foundation_z_m,roof_z_m,height_above_ground_m,z_difference_from_source_m
building_001,1046,-136.4497533936,144.0408650445,-341.124383484,360.1021626114,2.5,0.9,-0.05,19.3406593407,19.3406593407,0
building_002,1052,-129.0555,160.65395,-322.63875,401.634875,2.5,0.9,-0.05,13.4065934066,13.4065934066,0
building_004,1055,-235.9077,217.2204,-589.76925,543.051,2.5,0.9,-0.05,10.8424908425,10.8424908425,0
building_005,1057,228.4057815436,217.4299658,571.014453859,543.5749144999,2.5,0.9,-0.05,14.4688644689,14.4688644689,0
building_007,1063,181.7411250038,238.0774482996,454.3528125095,595.1936207489,2.5,0.9,-0.05,15.9340659341,15.9340659341,0
building_009,1086,-105.3052088066,-230.5293071835,-263.2630220165,-576.3232679589,2.5,0.9,-0.05,14.7252747253,14.7252747253,0
building_010,1087,163.6778774064,-32.6509344063,409.1946935159,-81.6273360158,2.5,0.9,-0.05,18.8644688645,18.8644688645,0
building_011,1089,208.9843117636,144.3250521494,522.4607794089,360.8126303735,2.5,0.9,-0.05,13.0769230769,13.0769230769,0
building_012,1090,180.8851208176,84.8914227749,452.212802044,212.2285569373,2.5,0.9,-0.05,11.9413919414,11.9413919414,0
building_014,1093,228.0371739806,118.4515305551,570.0929349515,296.1288263879,2.5,0.9,-0.05,17.1428571429,17.1428571429,0
building_015,1096,-31.9771091031,-209.7927390011,-79.9427727577,-524.4818475029,2.5,0.9,-0.05,14.6153846154,14.6153846154,0
building_018,1106,-233.7166012125,140.4075406427,-584.2915030314,351.0188516068,2.5,0.9,-0.05,10.1465201465,10.1465201465,0
building_019,1107,188.7269218205,146.7211252221,471.8173045512,366.8028130553,2.5,0.9,-0.05,13.1868131868,13.1868131868,0
building_020,1111,180.9225223537,74.4833776932,452.3063058842,186.208444233,2.5,0.9,-0.05,12.5641025641,12.5641025641,0
building_022,1113,228.4474200776,-41.1826427435,571.1185501939,-102.9566068587,2.5,0.9,-0.05,18.1318681319,18.1318681319,0
building_026,1119,182.7330920022,-152.3446941039,456.8327300055,-380.8617352598,2.5,0.9,-0.05,18.5714285714,18.5714285714,0
building_027,1121,-104.112073958,-173.3239582873,-260.2801848949,-433.3098957183,2.5,0.9,-0.05,17.4358974359,17.4358974359,0
building_028,1122,-152.0165367602,-182.4643410561,-380.0413419006,-456.1608526402,2.5,0.9,-0.05,15.8608058608,15.8608058608,0
building_031,1125,62.5489293017,-181.2040516684,156.3723232542,-453.0101291711,2.5,0.9,-0.05,17.1794871795,17.1794871795,0
building_032,1129,83.022963875,46.7883442265,207.5574096876,116.9708605662,2.5,0.9,-0.05,18.9010989011,18.9010989011,0
